City,Lat,Long,Namo_pos,Raga_pos,BJP_pos,Cong_pos
Amaravati,16.573,80.3575,17.647058823529413,28.571428571428573,20.28985507246377,17.741935483870968
Itanagar,27.1,93.62,18.181818181818183,31.645569620253166,22.093023255813954,17.77777777777778
Dispur,26.1433,91.7898,15.384615384615385,33.00970873786408,21.21212121212121,17.647058823529413
Patna,25.5941,85.1376,13.333333333333334,33.6,21.73913043478261,17.80821917808219
Raipur,21.2514,81.6296,11.764705882352942,34.0,21.705426356589147,17.816091954022987
Panaji,15.4909,73.8278,10.526315789473685,33.91812865497076,21.52777777777778,18.09045226130653
Gandhinagar,23.2156,72.6369,9.75609756097561,33.67875647668394,22.0125786163522,18.061674008810574
Chandigarh,30.7333,76.7794,9.090909090909092,33.7962962962963,22.285714285714285,18.253968253968253
Shimla,31.1048,77.1734,10.416666666666666,33.61344537815126,22.75132275132275,18.47826086956522
Srinagar,34.0836,74.7973,11.320754716981131,33.07692307692308,23.529411764705884,18.666666666666668
Benaluru,12.9716,77.5946,11.864406779661017,32.98245614035088,24.663677130044842,18.76923076923077
Thiruvananthapuram,8.5241,76.9366,12.307692307692308,32.24755700325733,24.583333333333332,18.624641833810887
Bhopal,23.2599,77.4126,14.285714285714286,31.804281345565748,24.124513618677042,18.498659517426272
Mumbai,19.076,72.8777,14.864864864864865,31.60919540229885,24.113475177304963,18.09045226130653
Imphal,24.817,93.9368,15.384615384615385,31.25,24.262295081967213,17.68867924528302
Shillong,25.5788,91.8933,16.867469879518072,30.848329048843187,24.085365853658537,17.410714285714285
Aizawl,23.7271,92.7176,17.24137931034483,30.413625304136254,24.068767908309457,17.12473572938689
Kohima,25.6586,94.1053,17.391304347826086,30.09259259259259,23.71967654986523,16.8
Bhubaneswar,20.2961,85.8245,17.52577319587629,30.10989010989011,23.214285714285715,16.539923954372625
Chandigarh,30.7333,76.7794,17.647058823529413,29.769392033542978,22.83653846153846,16.2748643761302
Jaipur,26.9124,75.7873,17.757009345794394,29.518072289156628,22.954545454545453,16.06217616580311
Gangtok,27.3389,88.6065,18.26086956521739,29.23076923076923,22.413793103448278,15.676567656765677
Chennai,13.0827,80.2707,18.0327868852459,29.02033271719039,22.587268993839835,15.530903328050712
Hyderabad,17.385,78.4867,17.829457364341085,28.928571428571427,22.789783889980352,15.396341463414634
Agartala,23.8315,91.2868,17.647058823529413,28.76949740034662,22.5140712945591,15.249266862170089
Lucknow,26.8467,80.9462,17.482517482517483,28.523489932885905,22.182468694096602,15.134370579915135
Dehradun,30.3165,78.0322,17.333333333333332,28.104575163398692,22.108843537414966,14.986376021798366
Kolkata,22.5726,88.3639,17.197452229299362,27.68,22.131147540983605,14.888010540184453
New Dehli,28.7041,77.1025,17.073170731707318,27.47252747252747,22.04724409448819,14.758269720101781
